Country,Year,Sex,Crude suicide rates (per 100k population)
Afghanistan,2012,Both sexes,4
Afghanistan,2013,Both sexes,4
Afghanistan,2014,Both sexes,3.9
Armenia,2012,Both sexes,7.4
Armenia,2013,Both sexes,6.4
Armenia,2014,Both sexes,6.3
Azerbaijan,2012,Both sexes,4.4
Azerbaijan,2013,Both sexes,4.3
Azerbaijan,2014,Both sexes,4.2
Bangladesh,2012,Both sexes,3.7
Bangladesh,2013,Both sexes,3.5
Bangladesh,2014,Both sexes,3.5
Bhutan,2012,Both sexes,4.3
Bhutan,2013,Both sexes,4.4
Bhutan,2014,Both sexes,4.4
Brunei,2012,Both sexes,2.1
Brunei,2013,Both sexes,1.8
Brunei,2014,Both sexes,1.8
Cambodia,2012,Both sexes,5.2
Cambodia,2013,Both sexes,5.2
Cambodia,2014,Both sexes,5.1
China,2012,Both sexes,9
China,2013,Both sexes,8.6
China,2014,Both sexes,8.4
Cyprus,2012,Both sexes,5.4
Cyprus,2013,Both sexes,5.7
Cyprus,2014,Both sexes,5.4
Democratic Republic of Korea,2012,Both sexes,9.7
Democratic Republic of Korea,2013,Both sexes,9.9
Democratic Republic of Korea,2014,Both sexes,10
Georgia,2012,Both sexes,9.2
Georgia,2013,Both sexes,9.8
Georgia,2014,Both sexes,10.3
India,2012,Both sexes,14.3
India,2013,Both sexes,13.7
India,2014,Both sexes,12.8
Indonesia,2012,Both sexes,2.5
Indonesia,2013,Both sexes,2.5
Indonesia,2014,Both sexes,2.4
Iran,2012,Both sexes,6.7
Iran,2013,Both sexes,6.6
Iran,2014,Both sexes,6.5
Iraq,2012,Both sexes,4.1
Iraq,2013,Both sexes,4.2
Iraq,2014,Both sexes,4.1
Israel,2012,Both sexes,6.1
Israel,2013,Both sexes,5.2
Israel,2014,Both sexes,5.1
Japan,2012,Both sexes,21.6
Japan,2013,Both sexes,21.4
Japan,2014,Both sexes,20.1
Jordan,2012,Both sexes,1.5
Jordan,2013,Both sexes,1.5
Jordan,2014,Both sexes,1.5
Kazakhstan,2012,Both sexes,27.6
Kazakhstan,2013,Both sexes,26.3
Kazakhstan,2014,Both sexes,24.2
Kuwait,2012,Both sexes,2.4
Kuwait,2013,Both sexes,2.4
Kuwait,2014,Both sexes,2.5
Kyrgyzstan,2012,Both sexes,10.9
Kyrgyzstan,2013,Both sexes,10.5
Kyrgyzstan,2014,Both sexes,10.5
Lao PDR,2012,Both sexes,5.7
Lao PDR,2013,Both sexes,5.7
Lao PDR,2014,Both sexes,5.5
Lebanon,2012,Both sexes,3
Lebanon,2013,Both sexes,3
Lebanon,2014,Both sexes,2.8
Malaysia,2012,Both sexes,4.6
Malaysia,2013,Both sexes,4.4
Malaysia,2014,Both sexes,4.6
Mongolia,2012,Both sexes,21.7
Mongolia,2013,Both sexes,21
Mongolia,2014,Both sexes,20
Myanmar,2012,Both sexes,3.3
Myanmar,2013,Both sexes,3.3
Myanmar,2014,Both sexes,3.2
Nepal,2012,Both sexes,8.9
Nepal,2013,Both sexes,8.7
Nepal,2014,Both sexes,8.5
Oman,2012,Both sexes,5.4
Oman,2013,Both sexes,5.3
Oman,2014,Both sexes,5.1
Pakistan,2012,Both sexes,8.8
Pakistan,2013,Both sexes,8.9
Pakistan,2014,Both sexes,8.9
Philippines,2012,Both sexes,2.4
Philippines,2013,Both sexes,2.4
Philippines,2014,Both sexes,2.3
Qatar,2012,Both sexes,7.4
Qatar,2013,Both sexes,6.7
Qatar,2014,Both sexes,6.3
Korea,2012,Both sexes,30.2
Korea,2013,Both sexes,30.6
Korea,2014,Both sexes,29
Saudi Arabia,2012,Both sexes,6.4
Saudi Arabia,2013,Both sexes,6.5
Saudi Arabia,2014,Both sexes,6.6
Sri Lanka,2012,Both sexes,16.6
Sri Lanka,2013,Both sexes,15.2
Sri Lanka,2014,Both sexes,13.1
Syria,2012,Both sexes,1.6
Syria,2013,Both sexes,1.8
Syria,2014,Both sexes,1.8
Tajikistan,2012,Both sexes,4.1
Tajikistan,2013,Both sexes,4
Tajikistan,2014,Both sexes,4.1
Thailand,2012,Both sexes,7.9
Thailand,2013,Both sexes,7.5
Thailand,2014,Both sexes,7.8
Timor-Leste,2012,Both sexes,3.3
Timor-Leste,2013,Both sexes,3.3
Timor-Leste,2014,Both sexes,3.4
Turkey,2012,Both sexes,2.2
Turkey,2013,Both sexes,2.3
Turkey,2014,Both sexes,2.3
Turkmenistan,2012,Both sexes,7.1
Turkmenistan,2013,Both sexes,7.1
Turkmenistan,2014,Both sexes,6.8
United Arab Emirates,2012,Both sexes,7.9
United Arab Emirates,2013,Both sexes,7.5
United Arab Emirates,2014,Both sexes,7
Uzbekistan,2012,Both sexes,8.9
Uzbekistan,2013,Both sexes,8.9
Uzbekistan,2014,Both sexes,9
Vietnam,2012,Both sexes,7.4
Vietnam,2013,Both sexes,7.5
Vietnam,2014,Both sexes,7.6
Yemen,2012,Both sexes,5.7
Yemen,2013,Both sexes,5.7
Yemen,2014,Both sexes,5.7
